"county20","county10","GEOID_TRACT_20","GEOID_TRACT_10","NAMELSAD_TRACT_20","NAMELSAD_TRACT_10","compareArea","same_tract_id","n_tract_20","n_tract_10","tract_change_cat"
"Alameda","Alameda","06001400100","06001400100","Census Tract 4001","Census Tract 4001",">",TRUE,8,6,"Split and Merge"
"Alameda","Alameda","06001400100","06001421600","Census Tract 4001","Census Tract 4216",">",FALSE,8,4,"Split and Merge"
"Alameda","Alameda","06001400100","06001422600","Census Tract 4001","Census Tract 4226",">",FALSE,8,4,"Split and Merge"
"Alameda","Alameda","06001400100","06001422700","Census Tract 4001","Census Tract 4227",">",FALSE,8,3,"Split and Merge"
"Alameda","Alameda","06001400100","06001423700","Census Tract 4001","Census Tract 4237",">",FALSE,8,2,"Split and Merge"
"Alameda","Alameda","06001400100","06001423800","Census Tract 4001","Census Tract 4238",">",FALSE,8,3,"Split and Merge"
"Alameda","Contra Costa","06001400100","06013353001","Census Tract 4001","Census Tract 3530.01","<",FALSE,8,5,"Split and Merge"
"Alameda","Contra Costa","06001400100","06013354001","Census Tract 4001","Census Tract 3540.01","<",FALSE,8,3,"Split and Merge"
"Alameda","Alameda","06001400200","06001400200","Census Tract 4002","Census Tract 4002","<",TRUE,2,2,"Split and Merge"
"Alameda","Alameda","06001400200","06001423800","Census Tract 4002","Census Tract 4238","<",FALSE,2,3,"Split and Merge"
"Alameda","Alameda","06001400300","06001400300","Census Tract 4003","Census Tract 4003",">",TRUE,2,1,"Merge"
"Alameda","Alameda","06001400300","06001401100","Census Tract 4003","Census Tract 4011",">",FALSE,2,3,"Split and Merge"
"Alameda","Alameda","06001400400","06001400400","Census Tract 4004","Census Tract 4004",">",TRUE,2,2,"Split and Merge"
"Alameda","Alameda","06001400400","06001423902","Census Tract 4004","Census Tract 4239.02",">",FALSE,2,3,"Split and Merge"
"Alameda","Alameda","06001400500","06001400500","Census Tract 4005","Census Tract 4005",">",TRUE,2,2,"Split and Merge"
"Alameda","Alameda","06001400500","06001423901","Census Tract 4005","Census Tract 4239.01",">",FALSE,2,2,"Split and Merge"
"Alameda","Alameda","06001400600","06001400600","Census Tract 4006","Census Tract 4006","==",TRUE,1,1,"Unchanged"
"Alameda","Alameda","06001400700","06001400700","Census Tract 4007","Census Tract 4007","<",TRUE,2,6,"Split and Merge"
"Alameda","Alameda","06001400700","06001424001","Census Tract 4007","Census Tract 4240.01",">",FALSE,2,2,"Split and Merge"
"Alameda","Alameda","06001400800","06001400700","Census Tract 4008","Census Tract 4007","<",FALSE,6,6,"Split and Merge"
"Alameda","Alameda","06001400800","06001400800","Census Tract 4008","Census Tract 4008",">",TRUE,6,2,"Split and Merge"
"Alameda","Alameda","06001400800","06001400900","Census Tract 4008","Census Tract 4009",">",FALSE,6,3,"Split and Merge"
"Alameda","Alameda","06001400800","06001422000","Census Tract 4008","Census Tract 4220","<",FALSE,6,6,"Split and Merge"
"Alameda","Alameda","06001400800","06001424002","Census Tract 4008","Census Tract 4240.02",">",FALSE,6,2,"Split and Merge"
"Alameda","Alameda","06001400800","06001425103","Census Tract 4008","Census Tract 4251.03","<",FALSE,6,2,"Split and Merge"
"Alameda","Alameda","06001400900","06001400900","Census Tract 4009","Census Tract 4009","<",TRUE,2,3,"Split and Merge"
"Alameda","Alameda","06001400900","06001425104","Census Tract 4009","Census Tract 4251.04","<",FALSE,2,4,"Split and Merge"
"Alameda","Alameda","06001401000","06001401000","Census Tract 4010","Census Tract 4010",">",TRUE,3,2,"Split and Merge"
"Alameda","Alameda","06001401000","06001401100","Census Tract 4010","Census Tract 4011",">",FALSE,3,3,"Split and Merge"
"Alameda","Alameda","06001401000","06001401400","Census Tract 4010","Census Tract 4014",">",FALSE,3,3,"Split and Merge"
"Alameda","Alameda","06001401100","06001401100","Census Tract 4011","Census Tract 4011","<",TRUE,2,3,"Split and Merge"
"Alameda","Alameda","06001401100","06001401200","Census Tract 4011","Census Tract 4012",">",FALSE,2,2,"Split and Merge"
"Alameda","Alameda","06001401200","06001401200","Census Tract 4012","Census Tract 4012","<",TRUE,1,2,"Split"
"Alameda","Alameda","06001401300","06001401300","Census Tract 4013","Census Tract 4013",">",TRUE,2,1,"Merge"
"Alameda","Alameda","06001401300","06001401400","Census Tract 4013","Census Tract 4014",">",FALSE,2,3,"Split and Merge"
"Alameda","Alameda","06001401400","06001401400","Census Tract 4014","Census Tract 4014","<",TRUE,1,3,"Split"
"Alameda","Alameda","06001401500","06001401500","Census Tract 4015","Census Tract 4015",">",TRUE,2,1,"Merge"
"Alameda","Alameda","06001401500","06001425104","Census Tract 4015","Census Tract 4251.04","<",FALSE,2,4,"Split and Merge"
"Alameda","Alameda","06001401600","06001401600","Census Tract 4016","Census Tract 4016","==",TRUE,1,1,"Unchanged"
"Alameda","Alameda","06001401700","06001401700","Census Tract 4017","Census Tract 4017","<",TRUE,3,4,"Split and Merge"
"Alameda","Alameda","06001401700","06001402200","Census Tract 4017","Census Tract 4022",">",FALSE,3,3,"Split and Merge"
"Alameda","Alameda","06001401700","06001425104","Census Tract 4017","Census Tract 4251.04",">",FALSE,3,4,"Split and Merge"
"Alameda","Alameda","06001401800","06001401800","Census Tract 4018","Census Tract 4018",">",TRUE,2,1,"Merge"
"Alameda","Alameda","06001401800","06001402200","Census Tract 4018","Census Tract 4022","<",FALSE,2,3,"Split and Merge"
"Alameda","Alameda","06001402200","06001402200","Census Tract 4022","Census Tract 4022",">",TRUE,2,3,"Split and Merge"
"Alameda","Alameda","06001402200","06001410500","Census Tract 4022","Census Tract 4105","<",FALSE,2,2,"Split and Merge"
"Alameda","Alameda","06001402400","06001402400","Census Tract 4024","Census Tract 4024","==",TRUE,1,1,"Unchanged"
"Alameda","Alameda","06001402500","06001402500","Census Tract 4025","Census Tract 4025","==",TRUE,1,1,"Unchanged"
"Alameda","Alameda","06001402600","06001402600","Census Tract 4026","Census Tract 4026","==",TRUE,1,1,"Unchanged"
"Alameda","Alameda","06001402700","06001402700","Census Tract 4027","Census Tract 4027","<",TRUE,1,2,"Split"
"Alameda","Alameda","06001402801","06001402700","Census Tract 4028.01","Census Tract 4027","<",FALSE,2,2,"Split and Merge"
"Alameda","Alameda","06001402801","06001402800","Census Tract 4028.01","Census Tract 4028","<",FALSE,2,2,"Split and Merge"
"Alameda","Alameda","06001402802","06001402800","Census Tract 4028.02","Census Tract 4028","<",FALSE,1,2,"Split"
"Alameda","Alameda","06001402900","06001402900","Census Tract 4029","Census Tract 4029",">",TRUE,2,1,"Merge"
"Alameda","Alameda","06001402900","06001403400","Census Tract 4029","Census Tract 4034","<",FALSE,2,3,"Split and Merge"
"Alameda","Alameda","06001403000","06001403000","Census Tract 4030","Census Tract 4030","==",TRUE,1,1,"Unchanged"
"Alameda","Alameda","06001403100","06001403100","Census Tract 4031","Census Tract 4031","==",TRUE,1,1,"Unchanged"
"Alameda","Alameda","06001403301","06001403300","Census Tract 4033.01","Census Tract 4033","<",FALSE,1,3,"Split"
"Alameda","Alameda","06001403302","06001403300","Census Tract 4033.02","Census Tract 4033","<",FALSE,2,3,"Split and Merge"
"Alameda","Alameda","06001403302","06001427300","Census Tract 4033.02","Census Tract 4273","<",FALSE,2,5,"Split and Merge"
"Alameda","Alameda","06001403401","06001403400","Census Tract 4034.01","Census Tract 4034","<",FALSE,1,3,"Split"
"Alameda","Alameda","06001403402","06001403400","Census Tract 4034.02","Census Tract 4034","<",FALSE,1,3,"Split"
"Alameda","Alameda","06001403501","06001403501","Census Tract 4035.01","Census Tract 4035.01",">",TRUE,2,1,"Merge"
"Alameda","Alameda","06001403501","06001404000","Census Tract 4035.01","Census Tract 4040",">",FALSE,2,2,"Split and Merge"
"Alameda","Alameda","06001403502","06001403502","Census Tract 4035.02","Census Tract 4035.02","<",TRUE,1,2,"Split"
"Alameda","Alameda","06001403600","06001403502","Census Tract 4036","Census Tract 4035.02",">",FALSE,3,2,"Split and Merge"
"Alameda","Alameda","06001403600","06001403600","Census Tract 4036","Census Tract 4036",">",TRUE,3,2,"Split and Merge"
"Alameda","Alameda","06001403600","06001403702","Census Tract 4036","Census Tract 4037.02",">",FALSE,3,2,"Split and Merge"
"Alameda","Alameda","06001403701","06001403701","Census Tract 4037.01","Census Tract 4037.01","==",TRUE,1,1,"Unchanged"
