Source: ACS 5-Year Estimates Public Use Microdata Sample 2022
Weight used: PWGTP
"Universe: selected geographies: California"
"","Recoded detailed Hispanic origin (HISP)","","","","","","","","","","","","","","","","","","","","","","","",""
"Age recode (AGEP_RC1)","Total","Not Spanish/Hispanic/Latino","Mexican","Puerto Rican","Cuban","Dominican","Costa Rican","Guatemalan","Honduran","Nicaraguan","Panamanian","Salvadoran","Other Central American","Argentinean","Bolivian","Chilean","Colombian","Ecuadorian","Paraguayan","Peruvian","Uruguayan","Venezuelan","Other South American","Spaniard","All Other Spanish/Hispanic/Latino"
" -> Total","39356104","23740836","12710291","223874","101940","22126","26638","477044","104297","110756","20646","752463","12939","53251","15194","29836","97790","44017","1820","115202","6456","21928","4447","175296","487017"
" -> Total -> Total California","39356104","23740836","12710291","223874","101940","22126","26638","477044","104297","110756","20646","752463","12939","53251","15194","29836","97790","44017","1820","115202","6456","21928","4447","175296","487017"
" -> Total -> Total California -> Total White alone","18953174","13856998","4250171","80312","41209","4911","9825","107074","25737","32956","5373","179913","3287","29017","6038","13251","33720","14144","468","31918","3357","7135","1483","76124","138753"
"85+","483887","438028","34668","960","1064","0","185","551","192","623","143","1550","0","585","41","126","488","226","0","442","0","13","46","1574","2382"
"1 - 4","774447","443008","285157","4736","2045","377","453","6378","1885","1503","211","9919","175","1561","564","534","1940","570","38","1514","12","311","82","3984","7490"
"5 - 14","2068668","1182254","770009","12134","4474","732","860","16782","4496","4319","562","25376","792","2780","863","2117","4029","1434","31","4110","372","508","52","9173","20409"
"15 - 24","2278070","1403498","748562","12550","5349","961","1281","17072","3815","4437","934","28658","325","3757","750","1738","4961","1786","75","4278","299","1014","266","9551","22153"
"25 - 34","2628749","1812398","678706","14675","7854","856","1243","17683","4379","4121","1217","28814","832","3910","962","2038","5863","2160","152","4715","340","1567","255","12041","21968"
"35 - 44","2447454","1742715","584510","10889","5176","541","1854","16673","4621","5196","779","26418","463","4613","672","1768","5383","2087","47","3952","800","1142","105","9160","17890"
"45 - 54","2377392","1786628","483498","8274","4717","655","1248","13481","2744","4512","606","24075","307","4486","553","1922","4195","2447","16","4563","629","1104","139","11165","15428"
"55 - 64","2607136","2173455","342960","7792","4947","316","1155","9930","1959","4245","463","20666","252","3323","740","1219","3567","1408","71","4445","367","1041","349","8567","13899"
"65 - 74","2053852","1819753","181893","4797","3237","215","998","5410","737","2274","269","8956","133","2427","365","1066","1638","1020","0","2015","349","224","48","6484","9544"
"75 - 84","1065724","954563","84135","2190","1997","144","471","1916","380","1209","180","3426","0","1231","232","608","1322","748","38","1420","159","151","86","3500","5618"
"0 - 1","167795","100698","56073","1315","349","114","77","1198","529","517","9","2055","8","344","296","115","334","258","0","464","30","60","55","925","1972"
" -> Total -> Total California -> Total Black or African American alone","2204482","2110314","56704","13097","4270","1977","408","1765","1017","1647","2945","3235","159","62","26","80","891","186","0","357","0","231","0","933","4178"
"85+","33287","33024","59","74","12","8","0","0","0","25","24","10","0","0","0","0","0","0","0","0","0","21","0","0","30"
"1 - 4","96143","86907","6424","1157","116","51","26","125","186","141","84","500","0","24","15","0","31","0","0","41","0","0","0","46","269"
"5 - 14","257566","235763","15224","2518","612","253","87","290","121","479","234","728","0","0","0","16","168","78","0","111","0","38","0","41","805"
"15 - 24","304439","285001","12728","2491","802","477","53","332","101","273","270","719","56","0","0","0","267","49","0","25","0","16","0","137","642"
"25 - 34","362911","346167","9447","2866","839","490","68","279","163","251","635","413","56","38","0","13","170","8","0","56","0","55","0","337","560"
"35 - 44","291067","280100","5855","1731","528","367","53","240","280","239","346","413","19","0","11","17","41","9","0","60","0","44","0","111","603"
"45 - 54","280523","274154","2963","972","394","161","76","123","97","48","471","157","11","0","0","34","54","30","0","20","0","30","0","126","602"
"55 - 64","291160","286640","1800","558","726","108","0","102","0","78","489","160","0","0","0","0","107","12","0","0","0","12","0","16","352"
"65 - 74","184224","182102","652","510","110","18","22","222","61","15","214","48","0","0","0","0","22","0","0","3","0","0","0","32","193"
"75 - 84","83816","82950","238","26","124","0","23","24","8","20","178","19","17","0","0","0","0","0","0","0","0","3","0","64","122"
"0 - 1","19346","17506","1314","194","7","44","0","28","0","78","0","68","0","0","0","0","31","0","0","41","0","12","0","23","0"
" -> Total -> Total California -> Total Apache alone","11939","3389","7378","110","0","0","0","0","21","0","0","82","0","0","0","23","0","0","0","0","0","0","0","453","483"
"85+","57","17","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","210","25","185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","1040","49","823","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0"
"15 - 24","1891","379","1300","7","0","0","0","0","0","0","0","67","0","0","0","0","0","0","0","0","0","0","0","0","138"
"25 - 34","1674","337","1139","39","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103","35"
"35 - 44","1873","852","959","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","29"
"45 - 54","1900","615","1137","36","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","24","73"
"55 - 64","1690","424","1099","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84","75"
"65 - 74","1172","574","454","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","16","105"
"75 - 84","389","117","233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","28"
"0 - 1","43","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0"
" -> Total -> Total California -> Total Blackfeet alone","2768","1547","1021","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","127"
"85+","37","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","97","65","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","441","99","342","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","323","217","63","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"25 - 34","328","218","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","598","278","269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","16"
"45 - 54","245","190","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"55 - 64","335","188","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","43"
"65 - 74","206","134","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","21"
"75 - 84","93","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","65","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Cherokee alone","13469","10114","2168","124","18","0","0","76","0","0","0","57","0","16","0","0","0","0","0","0","0","0","0","533","363"
"85+","175","175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","287","93","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","117"
"5 - 14","1110","529","297","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","277","0"
"15 - 24","1476","989","355","39","0","0","0","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0"
"25 - 34","1670","1167","284","78","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","125"
"35 - 44","1642","1217","340","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","43","13"
"45 - 54","2061","1470","438","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","119","34"
"55 - 64","2495","2267","179","0","18","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","3"
"65 - 74","1683","1452","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","71"
"75 - 84","753","745","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","117","10","107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Chickasaw alone","1113","1035","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","160","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","203","197","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","93","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","109","77","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","341","301","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","108","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Chippewa alone","1964","1527","332","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76","8"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","91","35","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","69","45","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","317","205","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","324","183","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76","0"
"35 - 44","174","155","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","213","161","31","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","387","384","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","212","190","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","177","169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Choctaw alone","5282","4203","912","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","105","31"
"85+","57","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","126","44","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","693","415","252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0"
"15 - 24","735","490","199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","0"
"25 - 34","998","741","207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","31"
"35 - 44","447","385","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","732","596","91","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","0"
"55 - 64","756","743","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","390","384","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","317","317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","31","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Creek alone","1591","1356","159","51","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","39","27","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","68","32","11","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","217","169","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","149","120","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","230","180","25","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","207","181","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","221","221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","237","237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","157","149","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","51","25","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Crow alone","215","165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","26","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33"
"35 - 44","46","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","110","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"65 - 74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Hopi alone","965","334","615","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"85+","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","80","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","32","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","24","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","134","51","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","245","128","117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
