"GEOID","county","acsID","raceGroup","detailedRace","population","moe"
"06001","Alameda County, California","B02015_001","Asian","Total",499382,2181
"06001","Alameda County, California","B02015_002","Asian","Asian Indian",128288,3330
"06001","Alameda County, California","B02015_003","Asian","Bangladeshi",612,239
"06001","Alameda County, California","B02015_004","Asian","Bhutanese",0,29
"06001","Alameda County, California","B02015_005","Asian","Burmese",2074,518
"06001","Alameda County, California","B02015_006","Asian","Cambodian",3540,697
"06001","Alameda County, California","B02015_007","Asian","Chinese, except Taiwanese",171803,3485
"06001","Alameda County, California","B02015_008","Asian","Filipino",85674,3165
"06001","Alameda County, California","B02015_009","Asian","Hmong",392,184
"06001","Alameda County, California","B02015_010","Asian","Indonesian",1693,416
"06001","Alameda County, California","B02015_011","Asian","Japanese",11713,833
"06001","Alameda County, California","B02015_012","Asian","Korean",19561,1544
"06001","Alameda County, California","B02015_013","Asian","Laotian",3339,759
"06001","Alameda County, California","B02015_014","Asian","Malaysian",216,128
"06001","Alameda County, California","B02015_015","Asian","Mongolian",1026,418
"06001","Alameda County, California","B02015_016","Asian","Nepalese",2039,689
"06001","Alameda County, California","B02015_017","Asian","Okinawan",16,25
"06001","Alameda County, California","B02015_018","Asian","Pakistani",6793,963
"06001","Alameda County, California","B02015_019","Asian","Sri Lankan",411,234
"06001","Alameda County, California","B02015_020","Asian","Taiwanese",6762,855
"06001","Alameda County, California","B02015_021","Asian","Thai",2305,482
"06001","Alameda County, California","B02015_022","Asian","Vietnamese",34425,2421
"06001","Alameda County, California","B02015_023","Asian","Other Asian, specified",153,81
"06001","Alameda County, California","B02015_024","Asian","Other Asian, not specified",1805,506
"06001","Alameda County, California","B02015_025","Asian","Two or more Asian",14742,1264
"06003","Alpine County, California","B02015_001","Asian","Total",10,16
"06003","Alpine County, California","B02015_002","Asian","Asian Indian",0,12
"06003","Alpine County, California","B02015_003","Asian","Bangladeshi",0,12
"06003","Alpine County, California","B02015_004","Asian","Bhutanese",0,12
"06003","Alpine County, California","B02015_005","Asian","Burmese",0,12
"06003","Alpine County, California","B02015_006","Asian","Cambodian",5,9
"06003","Alpine County, California","B02015_007","Asian","Chinese, except Taiwanese",0,12
"06003","Alpine County, California","B02015_008","Asian","Filipino",0,12
"06003","Alpine County, California","B02015_009","Asian","Hmong",0,12
