county_lhj,year,population
Alameda,1947,708400
Alameda,1948,717700
Alameda,1949,725100
Alameda,1950,743600
Alameda,1951,760300
Alameda,1952,781600
Alameda,1953,794100
Alameda,1954,823400
Alameda,1955,824900
Alameda,1956,846800
Alameda,1957,853100
Alameda,1958,870200
Alameda,1959,887000
Alameda,1960,912600
Alameda,1961,933900
Alameda,1962,956000
Alameda,1963,978200
Alameda,1964,1000300
Alameda,1965,1018000
Alameda,1966,1037500
Alameda,1967,1049900
Alameda,1968,1059600
Alameda,1969,1070500
Alameda,1970,1073000
Alameda,1971,1087700
Alameda,1972,1098500
Alameda,1973,1095000
Alameda,1974,1098900
Alameda,1975,1107900
Alameda,1976,1105600
Alameda,1977,1106800
Alameda,1978,1109700
Alameda,1979,1103900
Alameda,1980,1109500
Alameda,1981,1126000
Alameda,1982,1141400
Alameda,1983,1160500
Alameda,1984,1177200
Alameda,1985,1196000
Alameda,1986,1215200
Alameda,1987,1228800
Alameda,1988,1250600
Alameda,1989,1271000
Alameda,1990,1276100
Alameda,1991,1293363
Alameda,1992,1312023
Alameda,1993,1324224
Alameda,1994,1330821
Alameda,1995,1335230
Alameda,1996,1345787
Alameda,1997,1376952
Alameda,1998,1401090
Alameda,1999,1423529
Alameda,2000,1448768
Alameda,2001,1465564
Alameda,2002,1468468
Alameda,2003,1467187
Alameda,2004,1465540
Alameda,2005,1459882
Alameda,2006,1464839
Alameda,2007,1476401
Alameda,2008,1491781
Alameda,2009,1503827
Alameda,2010,1516617
Alameda,2011,1535986
Alameda,2012,1560713
Alameda,2013,1584064
Alameda,2014,1608614
Alameda,2015,1630159
Alameda,2016,1647332
Alameda,2017,1659750
Alameda,2018,1669659
Alameda,2019,1678926
Alameda,2020,1680487
Alameda,2021,1657465
Alameda,2022,1649975
Alameda,2023,1656037
Alameda HD,1971,973623.1657734246
Alameda HD,1972,985717.4529164381
Alameda HD,1973,984859.7661246117
Alameda HD,1974,989770.9001457726
Alameda HD,1975,998486.4605060307
Alameda HD,1976,997176.5215820841
Alameda HD,1977,999422.3869801085
Alameda HD,1978,1003128.8108108108
Alameda HD,1979,998819.0381306041
Alameda HD,1980,1005443.6103825631
Alameda HD,1981,1021942.2079083915
Alameda HD,1982,1036016.7724867725
Alameda HD,1983,1054203.1168605662
Alameda HD,1984,1071992.2761449078
Alameda HD,1985,1089565.5841417124
Alameda HD,1986,1109981.340624741
Alameda HD,1987,1123799.311813862
Alameda HD,1988,1146207.1641310472
Alameda HD,1989,1166594.9888994608
Alameda HD,1990,1172986.875343218
Alameda HD,1991,1190583.0921448153
Alameda HD,1992,1208673.3246941566
Alameda HD,1993,1221772.2912344562
Alameda HD,1994,1229317.686398609
Alameda HD,1995,1234120.4819992934
Alameda HD,1996,1245244.6862400775
Alameda HD,1997,1274890.0718797059
Alameda HD,1998,1298310.1127645788
Alameda HD,1999,1320448.976229099
Alameda HD,2000,1345398.0539962815
Alameda HD,2001,1361272.7404962308
Alameda HD,2002,1363574.640189276
Alameda HD,2003,1362098.4962183866
Alameda HD,2004,1359991.441557494
Alameda HD,2005,1354208.5865063826
Alameda HD,2006,1357259.747592779
Alameda HD,2007,1367252.766721156
Alameda HD,2008,1381449.8086450575
Alameda HD,2009,1392398.344944148
Alameda HD,2010,1403704.781949193
Alameda HD,2011,1420775.0450837319
Alameda HD,2012,1443984.379714435
Alameda HD,2013,1466449.9553054194
Alameda HD,2014,1489419.7666855888
Alameda HD,2015,1509485.4079249052
Alameda HD,2016,1525884.904053996
Alameda HD,2017,1537401.3224752373
Alameda HD,2018,1546576.5371621784
Alameda HD,2019,1555205.450917325
