year,place,county,city_county_proportion
1971,Berkeley,Alameda,0.10487895028645353
1972,Berkeley,Alameda,0.10266959224721156
1973,Berkeley,Alameda,0.10058468847067421
1974,Berkeley,Alameda,0.09930758017492711
1975,Berkeley,Alameda,0.09875759499410537
1976,Berkeley,Alameda,0.09806754560231172
1977,Berkeley,Alameda,0.09701627486437613
1978,Berkeley,Alameda,0.09603603603603604
1979,Berkeley,Alameda,0.09519065302055973
1980,Berkeley,Alameda,0.09378674143076784
1971,Long Beach,Los Angeles,0.050925271931063706
1972,Long Beach,Los Angeles,0.05090965547416409
1973,Long Beach,Los Angeles,0.050871395079513035
1974,Long Beach,Los Angeles,0.05002112378538234
1975,Long Beach,Los Angeles,0.049432421853156626
1976,Long Beach,Los Angeles,0.04960452133922511
1977,Long Beach,Los Angeles,0.049623479436184594
1978,Long Beach,Los Angeles,0.049511052674829484
1979,Long Beach,Los Angeles,0.04917253831846753
1980,Long Beach,Los Angeles,0.048443232057191234
1971,Pasadena,Los Angeles,0.015877948862833734
1972,Pasadena,Los Angeles,0.015666680780793495
1973,Pasadena,Los Angeles,0.015464791119396661
1974,Pasadena,Los Angeles,0.01516687790452049
1975,Pasadena,Los Angeles,0.015140077168260359
1976,Pasadena,Los Angeles,0.014974165754733969
1977,Pasadena,Los Angeles,0.015019446666482774
1978,Pasadena,Los Angeles,0.014997123839263703
1979,Pasadena,Los Angeles,0.01528665879254402
1980,Pasadena,Los Angeles,0.01574908958974428
1981,Berkeley,Alameda,0.0924136697083557
1982,Berkeley,Alameda,0.09232804232804233
1983,Berkeley,Alameda,0.09159576315332522
1984,Berkeley,Alameda,0.08937115516062885
1985,Berkeley,Alameda,0.08899198650358499
1986,Berkeley,Alameda,0.086585466898666
1987,Berkeley,Alameda,0.0854497787973128
1988,Berkeley,Alameda,0.08347420107864445
1989,Berkeley,Alameda,0.08214398985093561
1990,Berkeley,Alameda,0.08080332627284852
1981,Long Beach,Los Angeles,0.048180650968245774
1982,Long Beach,Los Angeles,0.04832312513816825
1983,Long Beach,Los Angeles,0.04822286508047764
1984,Long Beach,Los Angeles,0.04796493425172198
1985,Long Beach,Los Angeles,0.04819603497106268
1986,Long Beach,Los Angeles,0.04818913602297824
1987,Long Beach,Los Angeles,0.048519911975580324
1988,Long Beach,Los Angeles,0.0488625907073719
1989,Long Beach,Los Angeles,0.048919161057637085
1990,Long Beach,Los Angeles,0.04836682705915652
1981,Pasadena,Los Angeles,0.015764603105269427
1982,Pasadena,Los Angeles,0.015760933172082863
1983,Pasadena,Los Angeles,0.01575144324510316
1984,Pasadena,Los Angeles,0.015716969317470256
1985,Pasadena,Los Angeles,0.015687723186799656
1986,Pasadena,Los Angeles,0.015423419944243975
1987,Pasadena,Los Angeles,0.015238636094744563
1988,Pasadena,Los Angeles,0.015083922518723866
1989,Pasadena,Los Angeles,0.014931887620316556
1990,Pasadena,Los Angeles,0.014854231531276536
1991,Berkeley,Alameda,0.0794671780893568
1992,Berkeley,Alameda,0.07877123747513835
1993,Berkeley,Alameda,0.07736735534588093
1994,Berkeley,Alameda,0.0762711992081511
1995,Berkeley,Alameda,0.07572442051235118
1996,Berkeley,Alameda,0.0747089351880517
1997,Berkeley,Alameda,0.07412163105198592
1998,Berkeley,Alameda,0.07335709143268539
1999,Berkeley,Alameda,0.0724116078920071
2000,Berkeley,Alameda,0.07135024103494729
1991,Long Beach,Los Angeles,0.049044769528176574
1992,Long Beach,Los Angeles,0.04901499211978154
1993,Long Beach,Los Angeles,0.0484395169881833
1994,Long Beach,Los Angeles,0.04817201066457676
1995,Long Beach,Los Angeles,0.04795375518349507
1996,Long Beach,Los Angeles,0.04804607368991838
1997,Long Beach,Los Angeles,0.04809692216649934
1998,Long Beach,Los Angeles,0.04823054618601092
1999,Long Beach,Los Angeles,0.04838057094559146
2000,Long Beach,Los Angeles,0.04846327428600188
1991,Pasadena,Los Angeles,0.01468781420947212
1992,Pasadena,Los Angeles,0.014569051350916002
1993,Pasadena,Los Angeles,0.014527192479761433
1994,Pasadena,Los Angeles,0.0144003011712717
1995,Pasadena,Los Angeles,0.014388784757646616
1996,Pasadena,Los Angeles,0.014348163847780475
1997,Pasadena,Los Angeles,0.014307562076564348
1998,Pasadena,Los Angeles,0.014245898979309465
1999,Pasadena,Los Angeles,0.014179482884075757
2000,Pasadena,Los Angeles,0.014090727755221204
2001,Berkeley,Alameda,0.07116117720124761
2002,Berkeley,Alameda,0.0714304702661031
2003,Berkeley,Alameda,0.0716258416831756
2004,Berkeley,Alameda,0.07202025085804964
2005,Berkeley,Alameda,0.07238490062458297
2006,Berkeley,Alameda,0.07344100778803737
2007,Berkeley,Alameda,0.07392858259974351
2008,Berkeley,Alameda,0.07395937564223073
2009,Berkeley,Alameda,0.07409672459388743
2010,Berkeley,Alameda,0.07445005433198167
2001,Long Beach,Los Angeles,0.04835090009676666
2002,Long Beach,Los Angeles,0.048123235651827856
2003,Long Beach,Los Angeles,0.048141553774072414
2004,Long Beach,Los Angeles,0.04813048794813145
2005,Long Beach,Los Angeles,0.04795982703203587
2006,Long Beach,Los Angeles,0.04771963040876516
2007,Long Beach,Los Angeles,0.047543822555355345
2008,Long Beach,Los Angeles,0.047340578494204776
2009,Long Beach,Los Angeles,0.04715911363382218
2010,Long Beach,Los Angeles,0.04710642436597961
2001,Pasadena,Los Angeles,0.013985180519870534
2002,Pasadena,Los Angeles,0.01402428214197602
2003,Pasadena,Los Angeles,0.014083961383691605
2004,Pasadena,Los Angeles,0.014026285864383441
2005,Pasadena,Los Angeles,0.014007626001754455
2006,Pasadena,Los Angeles,0.013921465791726153
2007,Pasadena,Los Angeles,0.01384589085073544
2008,Pasadena,Los Angeles,0.013827127842759584
2009,Pasadena,Los Angeles,0.013927217935626792
2010,Pasadena,Los Angeles,0.01393914817380075
