county,year,population
California,2010,37363368
California,2011,37703593
California,2012,38055785
California,2013,38342642
California,2014,38644802
California,2015,38913507
California,2016,39127855
California,2017,39328926
California,2018,39476064
California,2019,39529566
Alameda,2010,1516617
Alameda,2011,1535986
Alameda,2012,1560713
Alameda,2013,1584064
Alameda,2014,1608614
Alameda,2015,1630159
Alameda,2016,1647332
Alameda,2017,1659750
Alameda,2018,1669659
Alameda,2019,1678926
Alpine,2010,1177
Alpine,2011,1181
Alpine,2012,1186
Alpine,2013,1193
Alpine,2014,1199
Alpine,2015,1201
Alpine,2016,1207
Alpine,2017,1211
Alpine,2018,1208
Alpine,2019,1205
Amador,2010,37714
Amador,2011,37122
Amador,2012,36903
Amador,2013,36561
Amador,2014,36930
Amador,2015,36905
Amador,2016,37929
Amador,2017,38549
Amador,2018,40038
Amador,2019,40279
Butte,2010,220619
Butte,2011,222149
Butte,2012,224316
Butte,2013,225544
Butte,2014,227830
Butte,2015,229359
Butte,2016,230681
Butte,2017,233080
Butte,2018,234627
Butte,2019,226714
Calaveras,2010,45565
Calaveras,2011,45519
Calaveras,2012,45512
Calaveras,2013,45429
Calaveras,2014,45423
Calaveras,2015,45414
Calaveras,2016,45365
Calaveras,2017,45354
Calaveras,2018,45365
Calaveras,2019,45285
Colusa,2010,21322
Colusa,2011,21356
Colusa,2012,21406
Colusa,2013,21464
Colusa,2014,21414
Colusa,2015,21455
Colusa,2016,21677
Colusa,2017,21792
Colusa,2018,21690
Colusa,2019,21745
Contra Costa,2010,1053028
Contra Costa,2011,1068330
Contra Costa,2012,1082513
Contra Costa,2013,1098192
Contra Costa,2014,1112733
Contra Costa,2015,1128317
Contra Costa,2016,1141566
Contra Costa,2017,1149457
Contra Costa,2018,1158017
Contra Costa,2019,1162287
Del Norte,2010,28421
Del Norte,2011,28261
Del Norte,2012,28038
Del Norte,2013,27589
Del Norte,2014,27260
Del Norte,2015,27113
Del Norte,2016,27070
Del Norte,2017,26898
Del Norte,2018,27572
Del Norte,2019,27604
El Dorado,2010,181135
El Dorado,2011,180832
El Dorado,2012,180978
El Dorado,2013,181963
El Dorado,2014,181898
El Dorado,2015,182205
El Dorado,2016,182937
El Dorado,2017,184800
El Dorado,2018,187122
El Dorado,2019,187905
Fresno,2010,932842
Fresno,2011,941793
Fresno,2012,949363
Fresno,2013,955481
Fresno,2014,963010
Fresno,2015,970859
Fresno,2016,977361
Fresno,2017,985393
Fresno,2018,993965
Fresno,2019,1001640
Glenn,2010,28220
Glenn,2011,28219
Glenn,2012,28009
Glenn,2013,28014
Glenn,2014,28075
Glenn,2015,28001
Glenn,2016,28005
Glenn,2017,28072
Glenn,2018,28134
Glenn,2019,28525
Humboldt,2010,135187
Humboldt,2011,135810
Humboldt,2012,135500
Humboldt,2013,135676
Humboldt,2014,135710
Humboldt,2015,136348
Humboldt,2016,137346
Humboldt,2017,137492
Humboldt,2018,137493
Humboldt,2019,136740
Imperial,2010,175188
Imperial,2011,176872
Imperial,2012,177385
Imperial,2013,177312
Imperial,2014,178967
Imperial,2015,179952
Imperial,2016,180280
Imperial,2017,180627
Imperial,2018,180627
Imperial,2019,180809
Inyo,2010,18560
Inyo,2011,18624
Inyo,2012,18702
Inyo,2013,18761
Inyo,2014,18873
Inyo,2015,18911
Inyo,2016,18956
Inyo,2017,18945
Inyo,2018,18953
Inyo,2019,18947
Kern,2010,841932
Kern,2011,850117
Kern,2012,858439
Kern,2013,867036
Kern,2014,872913
Kern,2015,878081
Kern,2016,880702
Kern,2017,888203
Kern,2018,895655
Kern,2019,903150
Kings,2010,152355
Kings,2011,151488
Kings,2012,149766
Kings,2013,149667
Kings,2014,148494
Kings,2015,148525
Kings,2016,147615
Kings,2017,148933
Kings,2018,151040
Kings,2019,151691
Lake,2010,65981
Lake,2011,66259
Lake,2012,67017
Lake,2013,67300
Lake,2014,67677
Lake,2015,66931
Lake,2016,66945
Lake,2017,67963
Lake,2018,68358
Lake,2019,68114
Lassen,2010,34878
Lassen,2011,34813
Lassen,2012,33533
Lassen,2013,33040
Lassen,2014,32725
Lassen,2015,31697
Lassen,2016,32309
Lassen,2017,32655
Lassen,2018,32936
Lassen,2019,32857
Los Angeles,2010,9842625
Los Angeles,2011,9893861
Los Angeles,2012,9970512
Los Angeles,2013,10012612
Los Angeles,2014,10052498
Los Angeles,2015,10083826
Los Angeles,2016,10099858
Los Angeles,2017,10114636
Los Angeles,2018,10100671
Los Angeles,2019,10063851
Madera,2010,150123
Madera,2011,151338
Madera,2012,150285
Madera,2013,151234
Madera,2014,152611
Madera,2015,152897
Madera,2016,153136
Madera,2017,154238
Madera,2018,155476
Madera,2019,155291
Marin,2010,252750
Marin,2011,255411
Marin,2012,257455
Marin,2013,260645
Marin,2014,263335
Marin,2015,263964
Marin,2016,265181
Marin,2017,264753
Marin,2018,264944
Marin,2019,263917
Mariposa,2010,18228
Mariposa,2011,18157
Mariposa,2012,18072
Mariposa,2013,17937
Mariposa,2014,17848
Mariposa,2015,17732
Mariposa,2016,17644
Mariposa,2017,17502
Mariposa,2018,17345
Mariposa,2019,17213
Mendocino,2010,87856
Mendocino,2011,87826
Mendocino,2012,88936
Mendocino,2013,89346
Mendocino,2014,90108
Mendocino,2015,90198
Mendocino,2016,91021
Mendocino,2017,91609
Mendocino,2018,91726
Mendocino,2019,91727
Merced,2010,256705
Merced,2011,259700
Merced,2012,262303
Merced,2013,263324
Merced,2014,265556
Merced,2015,267099
Merced,2016,268701
Merced,2017,272610
Merced,2018,274871
Merced,2019,278157
Modoc,2010,9713
Modoc,2011,9479
Modoc,2012,9341
Modoc,2013,9049
Modoc,2014,8959
Modoc,2015,8952
Modoc,2016,8795
Modoc,2017,8691
Modoc,2018,8755
Modoc,2019,8709
Mono,2010,14011
Mono,2011,14243
Mono,2012,13982
Mono,2013,13724
Mono,2014,13717
Mono,2015,13548
Mono,2016,13389
Mono,2017,13355
Mono,2018,13222
Mono,2019,13227
Monterey,2010,415956
Monterey,2011,420251
Monterey,2012,424445
Monterey,2013,426355
Monterey,2014,428633
Monterey,2015,433478
Monterey,2016,437116
Monterey,2017,438011
Monterey,2018,439618
Monterey,2019,440874
Napa,2010,136568
Napa,2011,137468
Napa,2012,138859
Napa,2013,139378
Napa,2014,140461
Napa,2015,140955
Napa,2016,141089
Napa,2017,140299
Napa,2018,139558
Napa,2019,138965
Nevada,2010,98834
Nevada,2011,99222
Nevada,2012,99264
Nevada,2013,99393
Nevada,2014,100370
Nevada,2015,100456
Nevada,2016,100919
Nevada,2017,101384
Nevada,2018,101920
Nevada,2019,102298
Orange,2010,3016922
Orange,2011,3053035
Orange,2012,3087846
Orange,2013,3112757
Orange,2014,3135170
Orange,2015,3155895
Orange,2016,3170359
Orange,2017,3188158
Orange,2018,3193464
Orange,2019,3191365
Placer,2010,350872
Placer,2011,357478
Placer,2012,362839
Placer,2013,368023
Placer,2014,372407
Placer,2015,376215
Placer,2016,382010
Placer,2017,388773
Placer,2018,395677
Placer,2019,401671
Plumas,2010,19985
Plumas,2011,19951
Plumas,2012,19914
Plumas,2013,19817
Plumas,2014,19776
Plumas,2015,19701
Plumas,2016,19672
Plumas,2017,19642
Plumas,2018,19575
Plumas,2019,19807
Riverside,2010,2197839
Riverside,2011,2228172
Riverside,2012,2249295
Riverside,2013,2268362
Riverside,2014,2291648
Riverside,2015,2313162
Riverside,2016,2337698
Riverside,2017,2361995
Riverside,2018,2383773
Riverside,2019,2400535
Sacramento,2010,1423634
Sacramento,2011,1439148
Sacramento,2012,1453048
Sacramento,2013,1465450
Sacramento,2014,1485006
Sacramento,2015,1502821
Sacramento,2016,1520401
Sacramento,2017,1536517
Sacramento,2018,1554668
Sacramento,2019,1570918
San Benito,2010,55563
San Benito,2011,56264
San Benito,2012,57055
San Benito,2013,57730
San Benito,2014,58515
San Benito,2015,59220
San Benito,2016,60087
San Benito,2017,60733
San Benito,2018,61848
San Benito,2019,63282
San Bernardino,2010,2044954
San Bernardino,2011,2066286
San Bernardino,2012,2076903
San Bernardino,2013,2088642
San Bernardino,2014,2104497
San Bernardino,2015,2119575
San Bernardino,2016,2132121
San Bernardino,2017,2147291
San Bernardino,2018,2160036
San Bernardino,2019,2174437
San Diego,2010,3103511
San Diego,2011,3135440
San Diego,2012,3169100
San Diego,2013,3197269
San Diego,2014,3228488
San Diego,2015,3248371
San Diego,2016,3263517
San Diego,2017,3276113
San Diego,2018,3293350
San Diego,2019,3294272
San Francisco,2010,809945
San Francisco,2011,819178
San Francisco,2012,831468
San Francisco,2013,840311
San Francisco,2014,848474
San Francisco,2015,857037
San Francisco,2016,863546
San Francisco,2017,868879
San Francisco,2018,872338
San Francisco,2019,872205
San Joaquin,2010,688585
San Joaquin,2011,695749
San Joaquin,2012,701991
San Joaquin,2013,707552
San Joaquin,2014,718498
San Joaquin,2015,729411
San Joaquin,2016,739814
San Joaquin,2017,750306
San Joaquin,2018,759753
San Joaquin,2019,771083
San Luis Obispo,2010,269604
San Luis Obispo,2011,271693
San Luis Obispo,2012,274697
San Luis Obispo,2013,276018
San Luis Obispo,2014,278887
San Luis Obispo,2015,279800
San Luis Obispo,2016,281681
San Luis Obispo,2017,282103
San Luis Obispo,2018,282952
San Luis Obispo,2019,282617
San Mateo,2010,721169
San Mateo,2011,729569
San Mateo,2012,740804
San Mateo,2013,748241
San Mateo,2014,755016
San Mateo,2015,761484
San Mateo,2016,764070
San Mateo,2017,765601
San Mateo,2018,766711
San Mateo,2019,766312
Santa Barbara,2010,424045
Santa Barbara,2011,425671
Santa Barbara,2012,430232
Santa Barbara,2013,434421
Santa Barbara,2014,438421
Santa Barbara,2015,442188
Santa Barbara,2016,444277
Santa Barbara,2017,445801
Santa Barbara,2018,447666
Santa Barbara,2019,448815
Santa Clara,2010,1790845
Santa Clara,2011,1815327
Santa Clara,2012,1842698
Santa Clara,2013,1867932
Santa Clara,2014,1891328
Santa Clara,2015,1914457
Santa Clara,2016,1925914
Santa Clara,2017,1932947
Santa Clara,2018,1937985
Santa Clara,2019,1936521
Santa Cruz,2010,262828
Santa Cruz,2011,265932
Santa Cruz,2012,268525
Santa Cruz,2013,271320
Santa Cruz,2014,272386
Santa Cruz,2015,274762
Santa Cruz,2016,275452
Santa Cruz,2017,274739
Santa Cruz,2018,273527
Santa Cruz,2019,272182
Shasta,2010,177488
Shasta,2011,178344
Shasta,2012,179341
Shasta,2013,180304
Shasta,2014,181054
Shasta,2015,180812
Shasta,2016,180287
Shasta,2017,181095
Shasta,2018,181472
Shasta,2019,181387
Sierra,2010,3236
Sierra,2011,3237
Sierra,2012,3234
Sierra,2013,3230
Sierra,2014,3220
Sierra,2015,3213
Sierra,2016,3220
Sierra,2017,3233
Sierra,2018,3232
Sierra,2019,3233
Siskiyou,2010,44859
Siskiyou,2011,44912
Siskiyou,2012,44909
Siskiyou,2013,44820
Siskiyou,2014,44801
Siskiyou,2015,44655
Siskiyou,2016,44554
Siskiyou,2017,44390
Siskiyou,2018,44305
Siskiyou,2019,44193
Solano,2010,413197
Solano,2011,416924
Solano,2012,420979
Solano,2013,425587
Solano,2014,431153
Solano,2015,435902
Solano,2016,441224
Solano,2017,445721
Solano,2018,449091
Solano,2019,451701
Sonoma,2010,484014
Sonoma,2011,487533
Sonoma,2012,490398
Sonoma,2013,494852
Sonoma,2014,498151
Sonoma,2015,500553
Sonoma,2016,501989
Sonoma,2017,501111
Sonoma,2018,496869
Sonoma,2019,492668
Stanislaus,2010,516536
Stanislaus,2011,519341
Stanislaus,2012,523837
Stanislaus,2013,527012
Stanislaus,2014,530332
Stanislaus,2015,535436
Stanislaus,2016,540856
Stanislaus,2017,546499
Stanislaus,2018,549544
Stanislaus,2019,551566
Sutter,2010,94844
Sutter,2011,94528
Sutter,2012,94816
Sutter,2013,95909
Sutter,2014,95217
Sutter,2015,95844
Sutter,2016,96517
Sutter,2017,97771
Sutter,2018,99334
Sutter,2019,101046
Tehama,2010,63386
Tehama,2011,63251
Tehama,2012,63192
Tehama,2013,63021
Tehama,2014,63161
Tehama,2015,63509
Tehama,2016,63999
Tehama,2017,64141
Tehama,2018,64568
Tehama,2019,65312
Trinity,2010,13821
Trinity,2011,13877
Trinity,2012,13987
Trinity,2013,14058
Trinity,2014,14151
Trinity,2015,14228
Trinity,2016,14840
Trinity,2017,15498
Trinity,2018,15754
Trinity,2019,16054
Tulare,2010,442343
Tulare,2011,447272
Tulare,2012,451114
Tulare,2013,453765
Tulare,2014,456558
Tulare,2015,459935
Tulare,2016,462223
Tulare,2017,465343
Tulare,2018,467656
Tulare,2019,470619
Tuolumne,2010,55313
Tuolumne,2011,55353
Tuolumne,2012,54638
Tuolumne,2013,55321
Tuolumne,2014,55095
Tuolumne,2015,55104
Tuolumne,2016,55162
Tuolumne,2017,55032
Tuolumne,2018,55311
Tuolumne,2019,55316
Ventura,2010,825009
Ventura,2011,832547
Ventura,2012,837333
Ventura,2013,842775
Ventura,2014,846966
Ventura,2015,850038
Ventura,2016,850227
Ventura,2017,849979
Ventura,2018,849523
Ventura,2019,845474
Yolo,2010,202503
Yolo,2011,202754
Yolo,2012,205138
Yolo,2013,206723
Yolo,2014,207708
Yolo,2015,209893
Yolo,2016,213224
Yolo,2017,215072
Yolo,2018,216474
Yolo,2019,216073
Yuba,2010,72408
Yuba,2011,73140
Yuba,2012,73721
Yuba,2013,74137
Yuba,2014,74877
Yuba,2015,75748
Yuba,2016,76782
Yuba,2017,78181
Yuba,2018,79043
Yuba,2019,80250
California,2020,39541722
California,2021,39246702
California,2022,39146273
California,2023,39109070
Alameda,2020,1680487
Alameda,2021,1657465
Alameda,2022,1649975
Alameda,2023,1656037
Alpine,2020,1202
Alpine,2021,1180
Alpine,2022,1175
Alpine,2023,1165
Amador,2020,40440
Amador,2021,40262
Amador,2022,40105
Amador,2023,40122
Butte,2020,210349
Butte,2021,206121
Butte,2022,206498
Butte,2023,205860
Calaveras,2020,45262
Calaveras,2021,45011
Calaveras,2022,44769
Calaveras,2023,44605
Colusa,2020,21867
Colusa,2021,21884
Colusa,2022,21814
Colusa,2023,21905
Contra Costa,2020,1167327
Contra Costa,2021,1159901
Contra Costa,2022,1150114
Contra Costa,2023,1146536
Del Norte,2020,27645
Del Norte,2021,27368
Del Norte,2022,26738
Del Norte,2023,26382
El Dorado,2020,191522
El Dorado,2021,191437
El Dorado,2022,189386
El Dorado,2023,187285
Fresno,2020,1007436
Fresno,2021,1010417
Fresno,2022,1011462
Fresno,2023,1012424
Glenn,2020,28854
Glenn,2021,28709
Glenn,2022,28449
Glenn,2023,28039
Humboldt,2020,136406
Humboldt,2021,134695
Humboldt,2022,134657
Humboldt,2023,134388
Imperial,2020,180376
Imperial,2021,179807
Imperial,2022,179914
Imperial,2023,179639
Inyo,2020,18954
Inyo,2021,18874
Inyo,2022,18847
Inyo,2023,18731
Kern,2020,905783
Kern,2021,908418
Kern,2022,908708
Kern,2023,903372
Kings,2020,152531
Kings,2021,151751
Kings,2022,151954
Kings,2023,152405
Lake,2020,67864
Lake,2021,67714
Lake,2022,67206
Lake,2023,66446
Lassen,2020,31926
Lassen,2021,31054
Lassen,2022,29544
Lassen,2023,28232
Los Angeles,2020,10014848
Los Angeles,2021,9908772
Los Angeles,2022,9840925
Los Angeles,2023,9825708
Madera,2020,156422
Madera,2021,157008
Madera,2022,157287
Madera,2023,158457
Marin,2020,262161
Marin,2021,258719
Marin,2022,255851
Marin,2023,254744
Mariposa,2020,17102
Mariposa,2021,17015
Mariposa,2022,16943
Mariposa,2023,16860
Mendocino,2020,91319
Mendocino,2021,90854
Mendocino,2022,89960
Mendocino,2023,89316
Merced,2020,281128
Merced,2021,281695
Merced,2022,285140
Merced,2023,285600
Modoc,2020,8686
Modoc,2021,8542
Modoc,2022,8517
Modoc,2023,8446
Mono,2020,13368
Mono,2021,13276
Mono,2022,13185
Mono,2023,13273
Monterey,2020,439762
Monterey,2021,438349
Monterey,2022,436843
Monterey,2023,436476
Napa,2020,138058
Napa,2021,136891
Napa,2022,135497
Napa,2023,134484
Nevada,2020,102648
Nevada,2021,102435
Nevada,2022,101137
Nevada,2023,100400
Orange,2020,3188652
Orange,2021,3164848
Orange,2022,3154042
Orange,2023,3142277
Placer,2020,406495
Placer,2021,408769
Placer,2022,409692
Placer,2023,410706
Plumas,2020,19871
Plumas,2021,19733
Plumas,2022,19280
Plumas,2023,18955
Riverside,2020,2423288
Riverside,2021,2429268
Riverside,2022,2432203
Riverside,2023,2431254
Sacramento,2020,1587542
Sacramento,2021,1583966
Sacramento,2022,1578644
Sacramento,2023,1581831
San Benito,2020,64450
San Benito,2021,65182
San Benito,2022,65481
San Benito,2023,65082
San Bernardino,2020,2185348
San Bernardino,2021,2183756
San Bernardino,2022,2179263
San Bernardino,2023,2170593
San Diego,2020,3304801
San Diego,2021,3285268
San Diego,2022,3293911
San Diego,2023,3297860
San Francisco,2020,870734
San Francisco,2021,841721
San Francisco,2022,843094
San Francisco,2023,848019
San Joaquin,2020,779968
San Joaquin,2021,781946
San Joaquin,2022,784017
San Joaquin,2023,784528
San Luis Obispo,2020,282671
San Luis Obispo,2021,278527
San Luis Obispo,2022,280629
San Luis Obispo,2023,280251
San Mateo,2020,762754
San Mateo,2021,749908
San Mateo,2022,746262
San Mateo,2023,749075
Santa Barbara,2020,447860
Santa Barbara,2021,439100
Santa Barbara,2022,443956
Santa Barbara,2023,442614
Santa Clara,2020,1926546
Santa Clara,2021,1899926
Santa Clara,2022,1903274
Santa Clara,2023,1911749
Santa Cruz,2020,271222
Santa Cruz,2021,263170
Santa Cruz,2022,265158
Santa Cruz,2023,263101
Shasta,2020,182029
Shasta,2021,181374
Shasta,2022,179786
Shasta,2023,178958
Sierra,2020,3232
Sierra,2021,3212
Sierra,2022,3186
Sierra,2023,3152
Siskiyou,2020,43996
Siskiyou,2021,43543
Siskiyou,2022,43307
Siskiyou,2023,42961
Solano,2020,452943
Solano,2021,449539
Solano,2022,447012
Solano,2023,446745
Sonoma,2020,488765
Sonoma,2021,483300
Sonoma,2022,481297
Sonoma,2023,479826
Stanislaus,2020,553129
Stanislaus,2021,550885
Stanislaus,2022,547905
Stanislaus,2023,545704
Sutter,2020,99474
Sutter,2021,99020
Sutter,2022,98641
Sutter,2023,98151
Tehama,2020,65847
Tehama,2021,65424
Tehama,2022,64993
Tehama,2023,64677
Trinity,2020,16107
Trinity,2021,16009
Trinity,2022,15927
Trinity,2023,15870
Tulare,2020,472757
Tulare,2021,474780
Tulare,2022,474861
Tulare,2023,474792
Tuolumne,2020,55492
Tuolumne,2021,54690
Tuolumne,2022,53409
Tuolumne,2023,53387
Ventura,2020,844214
Ventura,2021,837619
Ventura,2022,830434
Ventura,2023,825937
Yolo,2020,217883
Yolo,2021,214339
Yolo,2022,221342
Yolo,2023,220381
Yuba,2020,81919
Yuba,2021,82256
Yuba,2022,82667
Yuba,2023,83297
